trial,block,abrupt,gradual,stepwise,reintro
277,4,60,60,60,45
278,4,60,60,60,45
279,4,60,60,60,45
280,4,60,60,60,60
281,4,60,60,60,60
282,4,60,60,60,60
283,4,60,60,60,60
284,4,60,60,60,60
285,4,60,60,60,60
286,4,60,60,60,60
287,4,60,60,60,60
288,4,60,60,60,60
289,4,60,60,60,60
290,4,60,60,60,60
291,4,60,60,60,60
292,4,60,60,60,60
293,4,60,60,60,60
294,4,60,60,60,60
295,4,60,60,60,60
296,4,60,60,60,60
297,4,60,60,60,60
298,4,60,60,60,60
299,4,60,60,60,60
300,4,60,60,60,60
301,4,60,60,60,60
302,4,60,60,60,60
303,4,60,60,60,60
304,4,60,60,60,60
305,4,60,60,60,60
306,4,60,60,60,60
307,4,60,60,60,60
308,4,60,60,60,60
309,4,60,60,60,60
310,4,60,60,60,60
311,4,60,60,60,60
312,4,60,60,60,60
313,4,60,60,60,60
314,4,60,60,60,60
315,4,60,60,60,60
316,4,60,60,60,60
317,4,60,60,60,60
318,4,60,60,60,60
319,4,60,60,60,60
320,4,60,60,60,60
321,4,60,60,60,60
322,4,60,60,60,60
323,4,60,60,60,60
324,4,60,60,60,60
325,4,60,60,60,60
326,4,60,60,60,60
327,4,60,60,60,60
328,4,60,60,60,60
329,4,60,60,60,60
330,4,60,60,60,60
