task,trial,rotation_angle_deg,34,30,28,16,18,36,22,2,4,24,20,32,10,8,26
aligned_traning_1,40,0,-2.94,1.44,5.36,6.19,-3.88,7.35,-3.97,-0.28,-3.87,4.7,8.35,8.88,0.57,8.48,nan
aligned_traning_1,41,0,1.72,2.19,2.42,4.94,9.32,0.56,5.89,0.59,2.92,-5.53,-0.72,0.75,7.05,3.31,-3.39
aligned_traning_1,42,0,1.46,-3.2,-4.07,1.87,-0.65,-1.36,-3.03,2.26,-0.2,3.63,4.84,-4.85,-3.65,4.71,1.12
aligned_traning_1,43,0,2.56,0.2,2.55,0.57,-2.51,2.88,0.2,5.41,-1.61,nan,4.96,8.23,5.67,-6.04,6.64
aligned_traning_1,44,0,7.5,-0.2,9.93,10.93,-1.23,nan,-5.87,3.01,12.45,2.02,5.34,-3.88,-2.94,1.12,3.44
aligned_traning_1,45,0,-5.76,-0.27,-0.91,-2.71,2.58,5.99,-4.16,1.19,0.8,10.37,6.29,9.17,0,0.91,8.33
no-cursor_baseline_1,1,0,-2.33,-2.97,12.05,-7.59,4.43,7.02,4.34,6.25,-5.32,-11.95,13.26,-3.67,-1.01,-7.23,6.56
no-cursor_baseline_1,2,0,1.61,9.65,2.52,-0.22,4.31,14.04,-0.98,-1.06,2.51,2.64,5.35,6.94,3.76,-2.83,-0.19
no-cursor_baseline_1,3,0,-6.52,-3.39,-1.18,3.49,1.4,-2.58,-9.17,-0.29,3.32,4.92,7.57,-12.17,1.4,-8.07,0.82
no-cursor_baseline_1,4,0,-0.28,-0.6,6.84,5.4,0,3.06,-5.65,3.63,6.7,5.51,9.89,5.05,2.83,-1.83,-2.89
no-cursor_baseline_1,5,0,-1.12,8.07,1.87,2.37,0.82,4.75,-5.55,4.1,-7.47,7.65,-3.55,-5.79,0.21,-7.28,-1.96
no-cursor_baseline_1,6,0,4.2,2.54,0.29,5.16,5.58,-6.39,0.64,0.52,-2.89,8.9,6.21,5.41,-6.15,-9.67,20.48
no-cursor_baseline_1,7,0,10.06,9.63,0.21,8.86,-0.29,5.77,-7.05,-8.18,-13.13,5.15,0.62,8.34,10.89,5.4,17.28
no-cursor_baseline_1,8,0,-3.64,4.94,4.6,5.38,3.76,-8.13,-10.71,-2.79,-4.76,6.61,6.25,-6.18,-14.04,-9.34,-9.67
no-cursor_baseline_1,9,0,0.59,-3.98,-1.77,10.03,1.87,12.65,-10.83,4.5,-0.83,2.73,14.09,-2.6,-1.43,6.51,-10.06
aligned_training_2,1,0,13.02,-2.57,-4.78,5.29,0,6.12,-5.58,2.48,6.11,7.54,18.57,3.26,-3.93,10.77,8.52
aligned_training_2,2,0,-5.65,4.89,-5.09,5.49,3.67,10.62,-5.74,-2.08,2.22,3.19,-2.97,1.22,10.46,-6.59,-11.08
aligned_training_2,3,0,-1.19,3.53,0.69,-6.05,2.39,-5.61,4.24,-0.37,0.21,12.25,-3.42,-0.2,-10.21,-11.48,6.37
aligned_training_2,4,0,-7.56,4.86,0.55,-4.7,-4.44,3.67,2.63,-1.96,5.71,8,6.01,4.74,-2.49,13.22,5.54
aligned_training_2,5,0,7.05,6.14,0,3.66,-0.18,6.18,-1.22,2.69,-4.27,-1.28,-1.91,6.25,8.91,-6.24,4.09
aligned_training_2,6,0,-0.41,-2.66,0,1.65,2.36,2.97,-0.84,-2.85,7,8.53,3.55,3.89,-6.07,2.03,3.27
aligned_training_2,7,0,-4.13,-5.69,6.05,-4.42,-11.02,12.82,-2.26,-1.63,1.71,10.77,-4.09,2.05,8.97,-3.72,-0.8
aligned_training_2,8,0,6.68,3.63,0.81,15.73,3.2,-0.82,0.8,1.07,-1.33,4.82,0.2,4.75,2.97,-1.86,2.78
aligned_training_2,9,0,2.58,3.47,2.09,10.3,12.09,7.79,5.95,-2.98,4.72,-0.3,4.21,-0.18,-4.37,1.9,4.27
aligned_training_2,10,0,-0.55,2.12,-4.62,-1.08,1.08,4.32,4.27,0.61,3.24,0.57,-0.83,-6.04,0.9,3.11,nan
aligned_training_2,11,0,-0.55,-1.14,-0.82,4.09,-0.41,-0.78,-1.95,4.72,3.87,6.63,-3.21,3.79,6.26,-28.59,0.18
aligned_training_2,12,0,5.08,4.59,4.28,10.45,4.43,nan,1.63,-1.99,7.86,2.05,7.38,1.64,-7.05,0.94,0.22
aligned_training_2,13,0,0,4.07,0.26,4.78,1.19,-24.7,2.44,-1.19,6.54,-1.17,5.6,0.59,7.9,-2.47,11.81
aligned_training_2,14,0,-3.26,7.26,-4.54,2.32,2.76,8.25,3.39,-1.06,5.4,5.26,10.71,-1.22,1.11,-0.85,8.69
aligned_training_2,15,0,3.52,0.87,1.71,-0.29,2.95,8.64,-2.2,-2.81,-3.14,2.44,2.92,6.83,-13.24,6.34,-9.49
aligned_training_2,16,0,-3.43,5.04,-0.78,3.08,1.39,37.99,-1.78,1.11,-1.4,1.21,-3.69,5.45,-1.92,26.69,2.81
aligned_training_2,17,0,1.07,6.8,-5.1,-0.95,-3.92,0,7.53,0.43,-6.3,3.99,1.68,1.87,9.49,2.51,2.05
aligned_training_2,18,0,-3.09,1.95,-0.18,-2.4,6.16,2.31,-1.6,-0.64,8.08,-0.4,4.81,6.6,-4.73,11.95,5.39
aligned_training_2,19,0,-6.47,9.32,nan,2.1,4.96,6.54,7.59,0,2.48,-0.84,2.12,1.52,17.03,26.37,-1.41
aligned_training_2,20,0,1.53,-4.7,-1.01,5.01,5.65,-2.69,-6.21,4.3,-3.34,3.81,4.66,4.99,-11.02,-10.18,-4.45
aligned_training_2,21,0,4.46,-0.63,-4.53,-0.34,-0.59,4.69,3.03,3.35,7.33,0.28,-3.41,0.65,-7.34,-6.87,2.29
no-cursor_baseline_2,1,0,-1.02,0,6.16,-8.83,0.61,9.49,-4.34,-7.74,6.21,1.01,2.33,-4.9,-6.63,-10.97,7.36
no-cursor_baseline_2,2,0,3.83,10.81,2.16,-5.24,-4.88,-1.07,-3.46,4.06,2.68,-5.92,-1.58,5.6,7.82,3.95,6.97
no-cursor_baseline_2,3,0,7.31,-3.3,-1.79,8.97,9.26,-0.36,-2.88,4,5.12,-0.28,15.95,-1.69,-13.26,-6.51,-9.65
no-cursor_baseline_2,4,0,0.25,3.01,-0.28,8.33,9.6,7.54,-4.66,5.49,-6.21,2.54,11.71,7.32,9.3,8.66,-7.53
no-cursor_baseline_2,5,0,-2.54,-1.81,11.78,3.76,4.06,13.74,-16.5,5.35,7.75,-3.98,3.69,3.81,-1.53,-0.54,-1.6
no-cursor_baseline_2,6,0,5.03,-11.24,-4.21,5.69,7.92,-11.98,-6.05,-4.57,-5.35,7.17,-4.64,-10.57,-18.94,-8.26,12.76
no-cursor_baseline_2,7,0,10.13,-3.9,-9.84,6.51,11.78,-15.29,-18.8,-4.59,-7.02,10.61,8.49,-4.19,17.16,2.51,2.29
no-cursor_baseline_2,8,0,6.6,-4.1,-0.89,2.64,-3.63,-3.21,-8.07,-0.4,-8.37,5.27,-5.91,5.8,-8.3,-7.16,-1.66
no-cursor_baseline_2,9,0,2.9,-0.38,10.55,2.84,0.58,0.4,-6.03,-0.89,16.89,2.18,11.45,6.38,-19.88,-5.61,-11.39
rotated_training_15,1,-15,7.28,-2.73,2.77,4.51,9.87,3.84,nan,4.43,3.39,nan,15.67,0.86,-3.41,7.48,-24.84
rotated_training_15,2,-15,1.83,7.82,3.85,-1.89,3.76,2.77,7.7,nan,11.68,6.99,11.23,5.38,16.11,6.01,nan
rotated_training_15,3,-15,4.09,3.96,10.3,4.64,4.54,9.51,9.66,8.17,8.48,13.9,14.18,8.89,7.75,14.7,14.85
rotated_training_15,4,-15,8.53,2.19,7.63,10.3,9.13,12.69,7.5,9.31,14.62,10.65,9.74,10.58,3.6,11.64,-3.67
rotated_training_15,5,-15,13.09,9.15,5.37,12.61,13.8,14.04,7.59,7.49,12.62,7.27,7.88,7.01,7.59,14.33,14.11
rotated_training_15,6,-15,8.43,10.64,6.9,-2.14,nan,0.83,2.47,15.52,16.78,-0.22,13.69,8.44,10.66,14.48,9.19
rotated_training_15,7,-15,12.91,8.91,8.47,9.74,9.09,7.17,12.3,17.64,10.15,5.96,17,13.03,10.09,-2.64,3.83
