task,task_type,trial,rotation_angle_deg,15,21,23,17,13,19,2,11,9,1,25,26,7
aligned_training_2,cursor,15,0,0.21,27.9,2.82,0.52,7.07,-5.33,-3.64,14.69,8,-1.25,-5.4,5.67,-6.5
aligned_training_2,cursor,16,0,-1.21,4.84,5.1,3.05,-8.26,-2.92,3.93,10.94,11.68,4.51,-0.87,6.53,8.43
aligned_training_2,cursor,17,0,-2.6,-10.18,-0.62,4.81,-4.9,0,0.63,18.55,-3.09,5.19,-13.36,6.84,-2.06
aligned_training_2,cursor,18,0,3.42,-18.22,-3.26,-0.55,-6.09,16.81,-0.41,13.23,4.42,0,1.86,0.2,2.91
aligned_training_2,cursor,19,0,1.68,0.18,0.38,nan,-5.38,13.93,4.76,6.53,5.4,-2.37,0.84,5.44,0.79
aligned_training_2,cursor,20,0,4.24,11.45,1.19,3.83,-0.59,1.65,0,-1.25,22.51,-0.4,-2.9,3.83,-10.78
aligned_training_2,cursor,21,0,-5.98,-4.36,3.55,5.23,5.63,-2.36,0.59,16.5,-3.59,5.05,-10.65,5.06,3.81
no-cursor_baseline_2,no_cursor,1,0,4.74,14.59,-13.51,-1.92,1.16,-0.59,-5.96,1.77,-0.38,-3.92,-9.76,3.74,2.7
no-cursor_baseline_2,no_cursor,2,0,-5.16,1.52,-1.47,0.2,-14.58,-2.29,-1.78,8.79,-0.9,0.18,-0.74,1.77,7.69
no-cursor_baseline_2,no_cursor,3,0,10.08,-1.02,-5.73,6.28,-5.35,0.28,6.34,7.28,-6.16,2.28,-6.34,-1.73,-1.87
no-cursor_baseline_2,no_cursor,4,0,1.97,-0.61,1.92,6.13,-3.01,-3.29,4.6,15.66,3.64,-2.38,-1.64,-5.07,0.75
no-cursor_baseline_2,no_cursor,5,0,11.77,-6.27,-10.35,5.26,-6.53,2.45,1.49,-0.82,7.49,2.21,-2.22,6,13.5
no-cursor_baseline_2,no_cursor,6,0,-7.17,0.88,2.36,2.6,-6.13,-2.58,-4.74,5.48,6.55,-1.03,-3.56,0.78,-2.89
