task,task_type,trial,rotation_angle_deg,12,14,28,16,18,6,22,27,4,24,20,10
rotated_training_60,cursor,20,-60,52.47,54.46,63.34,17.9,48.98,55.83,20.65,64.07,64.27,22.76,55.38,21.19
rotated_training_60,cursor,21,-60,56.43,53.7,57.5,23.87,38.9,41.67,30.76,38.02,44.6,45.59,46.81,13.78
rotated_training_60,cursor,22,-60,56.2,54.76,60.74,31.47,40.62,38.93,37.3,51.15,41.54,34.16,56.39,30.17
rotated_training_60,cursor,23,-60,59.7,54.09,60.86,30.18,37.57,55.06,37.87,53.62,50.74,31.88,61.73,25.08
rotated_training_60,cursor,24,-60,33.86,49.76,64.93,17.41,47.71,48.33,55.73,56.37,42.66,25.53,50.95,8.47
rotated_training_60,cursor,25,-60,59.39,57.99,52.31,32.59,48.9,56,42.11,58.67,54.62,51.78,55.6,24.94
rotated_training_60,cursor,26,-60,64,55.82,67.49,27.66,49.38,48.01,54.14,43.57,50.99,35.49,46.2,40.21
rotated_training_60,cursor,27,-60,59.23,49.28,55.97,35.26,38.96,56.03,19.89,56.57,47.44,32.67,54.04,11.31
rotated_training_60,cursor,28,-60,61.06,55.58,61.81,27.61,42.1,42.49,41.82,90.6,43.08,38.59,55.03,14.84
rotated_training_60,cursor,29,-60,60.74,53.17,66.41,19.97,48.04,50.36,52.06,50.49,51.17,45,56.19,35.99
rotated_training_60,cursor,30,-60,77.37,42.64,50.53,30.38,45.3,56.98,41.81,92.29,47.69,36.01,45.3,9.94
rotated_training_60,cursor,31,-60,62.57,53.84,59.87,40.69,39.12,56.21,43.96,54.19,48.9,44.15,47.42,51.43
rotated_training_60,cursor,32,-60,62.37,55.74,64.98,39.08,40.14,41.3,49.33,55.49,43.83,44.79,53.86,55.62
rotated_training_60,cursor,33,-60,69.71,53.95,57.62,23.31,26.01,42.68,22.18,48.65,56.09,41.48,55.89,22.38
rotated_training_60,cursor,34,-60,54.55,50.44,66.04,42.68,41.54,41.72,53.13,63.03,56.74,35.54,59.5,59.5
rotated_training_60,cursor,35,-60,30.15,60.08,69.47,42.49,51.1,59.98,27.39,61.14,68.41,41.35,46.74,52.5
rotated_training_60,cursor,36,-60,58.84,59.14,61.64,34.26,47.55,68.39,36.98,54.18,47.81,36.43,56.9,46.52
rotated_training_60,cursor,37,-60,43.92,56.37,47.94,27.02,41.68,31.79,52.29,63.7,47.31,40.74,46.48,54.16
rotated_training_60,cursor,38,-60,62.29,56.83,57.78,42.42,44.17,61.14,41.78,62.5,57.61,35.47,52.05,43.29
rotated_training_60,cursor,39,-60,66.17,47.29,67.08,34.92,36.45,49.96,42.15,48.89,47.68,34.14,60.03,43.51
rotated_training_60,cursor,40,-60,55.3,57.26,59.25,46.68,48.18,67.67,28.86,51.99,64.94,35.06,47.08,55.4
rotated_training_60,cursor,41,-60,87.34,56.43,56.65,53.72,49.54,53.25,41,45.3,53.24,36.87,58.9,51.21
rotated_training_60,cursor,42,-60,57.28,56.55,69.86,25.53,44.6,52.39,57.88,52.47,40.67,42.71,51.57,52.13
rotated_training_60,cursor,43,-60,57.5,54.29,51.18,32.49,49.74,35.63,31.29,53.57,48.98,42.63,54.8,54.46
rotated_training_60,cursor,44,-60,60.89,63.89,50.62,14.24,50.44,55.36,44.64,53.59,48.51,36.99,61.79,nan
rotated_training_60,cursor,45,-60,67.19,55.66,66.8,58.17,45.2,45.39,48.05,64.6,51.04,38.93,59.14,34.64
no-cursor_60_include,no_cursor,1,0,52.69,14.7,57.87,3.81,11.07,31.69,23.71,34.33,26.05,4.96,15.66,10.73
no-cursor_60_include,no_cursor,2,0,53.57,19.65,39.62,8.68,57.99,63.05,32.09,58.82,51.71,19.25,9.15,11.98
no-cursor_60_include,no_cursor,3,0,44.79,12.95,46.98,11.72,9.42,-33.75,-26.27,42.25,24.14,13.34,27.25,12.81
no-cursor_60_include,no_cursor,4,0,30.65,17.64,39.29,13.31,40.75,55.65,34.4,57.02,30.17,13.5,8.05,21.12
no-cursor_60_include,no_cursor,5,0,58.1,17.38,39.69,13.41,9.01,-36.71,-47.78,21.54,19.65,8.13,15.18,15.37
no-cursor_60_include,no_cursor,6,0,53,15.79,38.2,15.03,18.62,32.07,-35.19,43.75,57.72,6.03,10.72,8.79
no-cursor_60_include,no_cursor,7,0,55.36,18.43,34.29,-0.3,34.29,13.61,-30.39,49.29,33.63,5.74,21.44,15.53
no-cursor_60_include,no_cursor,8,0,51.58,15.72,27.7,10.34,20.45,-34.4,50.68,9.46,18.91,6.39,11.31,2.68
no-cursor_60_include,no_cursor,9,0,42.07,20.83,46.42,-0.21,13.49,47.45,-7.93,19.25,32.7,12.69,23.86,11.23
no-cursor_60_exclude,no_cursor,1,0,2.8,18.43,11.73,1.42,6.81,-3.05,11.31,11.38,23.01,5.86,7.79,12.39
no-cursor_60_exclude,no_cursor,2,0,2.78,16.84,21.47,6.84,13.39,3.19,13.14,11.05,6.91,9.46,8.71,2.14
no-cursor_60_exclude,no_cursor,3,0,5.85,17.78,7.95,-3.16,23.09,24.2,14.24,7.23,11.54,10.76,17.67,-1.17
no-cursor_60_exclude,no_cursor,4,0,4.78,8.6,0.8,4.66,7.43,5.29,11.55,11.03,10.17,4.43,-4.17,2.93
no-cursor_60_exclude,no_cursor,5,0,6.7,12.88,6.78,0.21,19.88,11.8,25.55,8.49,60.56,10.99,9.46,-0.84
no-cursor_60_exclude,no_cursor,6,0,12.76,12.53,14.84,6.04,2.58,-0.26,17.06,13.47,27.07,8.09,17.16,10.25
no-cursor_60_exclude,no_cursor,7,0,12.32,10.43,6.29,3.99,12.56,15.48,7.9,12.97,14.23,5.99,11.63,-0.4
no-cursor_60_exclude,no_cursor,8,0,7.59,13.8,5.16,7.87,19.95,3.98,9.36,5.93,13.88,0.65,1.26,16.44
no-cursor_60_exclude,no_cursor,9,0,1.26,16.66,9,-3.64,9.62,-4.97,9.56,12.68,7.2,-0.59,7.02,10.85
rotated_training_60_2,cursor,1,-60,29.48,nan,39.14,16.06,13.36,39.05,1.4,37.62,7.84,21.12,nan,29.82
rotated_training_60_2,cursor,2,-60,81.91,42.63,44.37,24.24,43.49,33.31,-9.64,53.07,50.67,18.81,55.47,42.06
rotated_training_60_2,cursor,3,-60,53.5,56.39,53.13,-4.27,51.18,42.65,57.75,36.87,77.1,37.99,53,49.59
rotated_training_60_2,cursor,4,-60,57.14,53.72,57.86,15.7,42.23,27.74,48.04,59.44,15.84,33.81,58.25,60.86
rotated_training_60_2,cursor,5,-60,42.51,61.11,54.99,49.24,50.27,49.95,45.3,49.91,70.61,26.43,57.63,35.89
rotated_training_60_2,cursor,6,-60,60.67,58.83,63.82,35.73,23.65,47.88,36.69,nan,41.92,45.3,48.35,53.49
rotated_training_60_2,cursor,7,-60,53.24,59.4,52.69,26.17,36.75,53.49,58.04,51.89,59.04,35.29,54.78,47.36
rotated_training_60_2,cursor,8,-60,63.43,61.86,62.27,31.55,48.33,38.52,51.63,57.15,43.48,52.06,54.22,37.87
rotated_training_60_2,cursor,9,-60,53.25,59.11,58.59,51.71,36.75,3.59,53.25,46.1,30.96,34.2,52.66,32.8
rotated_training_60_2,cursor,10,-60,64.02,60.28,59.48,25.37,34.17,71.18,55.28,52.01,29.78,47.12,47.81,50.36
rotated_training_60_2,cursor,11,-60,68.03,56.93,57.53,61.23,42.49,60.18,50.44,51.71,28.89,20.15,52.92,45
rotated_training_60_2,cursor,12,-60,50.85,55.1,62.93,30.96,40.3,62.96,47.12,48.06,71.21,25.92,55.41,36.44
rotated_training_60_2,cursor,13,-60,50.37,59.47,66.1,50.8,54.93,61.88,47.53,44.72,47.18,36.49,61.41,51.57
rotated_training_60_2,cursor,14,-60,64.16,57.14,60.57,30.11,55.38,71.74,63.34,51.92,74.02,51.37,52.2,48.85
rotated_training_60_2,cursor,15,-60,21.8,53.49,55.84,25.28,37.25,39.32,42.96,63.03,18.82,47.26,56.31,37.12
rotated_training_60_2,cursor,16,-60,43.97,55.9,54.55,20.83,41.78,82.04,37.87,55.98,24.58,35.54,59.18,53.56
rotated_training_60_2,cursor,17,-60,60.28,59.85,58.67,27.51,49.57,50.27,58.31,55.11,81.43,51.08,57.74,41.82
rotated_training_60_2,cursor,18,-60,55.48,56.31,62.35,44.72,48.01,63.35,47.44,57.69,48.73,35.41,52.16,47.78
rotated_training_60_2,cursor,19,-60,82.78,52.9,62.33,38.47,42.95,62.41,71.19,57.38,45.18,34.88,60.86,51.53
rotated_training_60_2,cursor,20,-60,57.31,60.07,67.62,27.41,54.87,49.07,59.4,60.15,35.91,51.65,51.57,46.97
rotated_training_60_2,cursor,21,-60,57.08,58.29,58.89,46.48,26.66,59.24,52.05,53.02,30.89,32.91,48.01,73.27
no-cursor_60_exclude_2,no_cursor,1,0,9.04,42.64,16.48,10.3,13.97,-3.21,26.31,28.68,9.65,-3.9,15.82,21.88
no-cursor_60_exclude_2,no_cursor,2,0,11.91,43.85,22.2,14.44,14.86,2.49,13.3,28.32,14.71,16.41,-2.44,9.11
no-cursor_60_exclude_2,no_cursor,3,0,11.7,37.31,23.82,7.91,23.88,22.48,18.43,18.43,33.64,4.54,21.51,6.01
no-cursor_60_exclude_2,no_cursor,4,0,11.15,28.5,25.88,10.4,17.72,8.37,23.72,13.7,33.53,3.47,8.91,8.91
no-cursor_60_exclude_2,no_cursor,5,0,7.16,34.47,26.17,7.82,19.71,4.61,15.77,17.72,27.39,10.05,0.43,8.25
no-cursor_60_exclude_2,no_cursor,6,0,11.06,31.32,6.95,8.19,24.86,12.85,13.99,17.96,11.61,13.3,16.23,0.65
no-cursor_60_exclude_2,no_cursor,7,0,13.22,26.48,2.67,4.34,13.64,7.97,13.49,9.61,32.28,16.79,8.86,7.84
no-cursor_60_exclude_2,no_cursor,8,0,10.91,26.69,1.2,0,23.53,21.04,11.14,14.49,25.56,11.71,13.89,9.11
no-cursor_60_exclude_2,no_cursor,9,0,18.7,22.2,14.66,3.95,22.81,5.82,22.69,14.72,26.17,6.07,8.21,2.92
no-cursor_60_include_2,no_cursor,1,0,53.97,14.88,40.46,16.41,0.3,35.58,19.49,45,-15.49,-12.02,20.73,11.47
no-cursor_60_include_2,no_cursor,2,0,49.72,20.58,31.9,11.07,25.88,52.58,10.97,50.4,39.35,6.16,14.7,18.05
no-cursor_60_include_2,no_cursor,3,0,50.41,9.85,36.48,-9.7,55.71,68.9,29.86,17.95,54.73,-0.86,21.37,20.33
no-cursor_60_include_2,no_cursor,4,0,48.22,17.31,37.41,-15.2,19.06,48.05,30.15,17.53,-10.48,3.62,10.41,7.59
no-cursor_60_include_2,no_cursor,5,0,49.35,11.78,29.87,32.38,9.29,59.04,1.71,39.81,-10.92,0.63,13.93,-2.22
no-cursor_60_include_2,no_cursor,6,0,44.11,7.34,40.48,-12.35,0.58,44.45,42.08,21.1,53.9,9.74,18.16,12.55
no-cursor_60_include_2,no_cursor,7,0,53.61,11.73,25.38,-3.01,43.65,46.61,-43.81,20.33,-43.88,1.74,3.64,16
no-cursor_60_include_2,no_cursor,8,0,43.42,16.95,37.17,31.71,44.11,48.29,47.92,20.67,49.69,6.34,29.17,19.18
no-cursor_60_include_2,no_cursor,9,0,43.51,20.85,33.58,-5.98,37.5,53.82,14.11,30.63,-12.96,9.26,29.93,-3.69
