task_num,trial_num,rotation_angle,targetangle_deg,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px,ppt,stratuse,exp,angular_dev
24,1,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.2363,11.836,-2.2363,11.836,10_abruptExp,1,abruptExp,5.66929095724113
24,2,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-5.6181,2.4,-5.6181,2.4,10_abruptExp,1,abruptExp,-21.7730497643411
24,3,-60,45,0,-10.691,21.599,21.599,1.5513e+12,5.2909,11.018,5.2909,11.018,10_abruptExp,1,abruptExp,31.3029490272734
24,4,-60,45,0,-10.691,21.599,21.599,1.5513e+12,10.582,13.854,10.582,13.854,10_abruptExp,1,abruptExp,21.6778455020344
24,5,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,0.43636,11.236,0.43636,11.236,10_abruptExp,1,abruptExp,-1.14006871197685
24,6,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-9.709,6.0545,-9.709,6.0545,10_abruptExp,1,abruptExp,-14.8949469724254
24,7,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-9.5454,5.2909,-9.5454,5.2909,10_abruptExp,1,abruptExp,-14.1516839692415
24,8,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-3.2727,8.6181,-3.2727,8.6181,10_abruptExp,1,abruptExp,9.61964468892627
24,9,-60,45,0,-10.691,21.599,21.599,1.5513e+12,7.6363,6.2727,7.6363,6.2727,10_abruptExp,1,abruptExp,20.7648539899305
16,1,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.54545,4.4727,-0.54545,4.4727,10_abruptExp,1,abruptExp,2.0600852329312
16,2,-60,45,0,-10.691,21.599,21.599,1.5513e+12,4.4727,6.7636,4.4727,6.7636,10_abruptExp,1,abruptExp,30.6273483778085
16,3,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-7.2545,4.5818,-7.2545,4.5818,10_abruptExp,1,abruptExp,-19.5925267619785
16,4,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.0182,7.8545,-2.0182,7.8545,10_abruptExp,1,abruptExp,6.21072948589493
16,5,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-5.6182,3.4909,-5.6182,3.4909,10_abruptExp,1,abruptExp,-23.3888645406165
16,6,-60,45,0,-10.691,21.599,21.599,1.5513e+12,5.9455,8.2364,5.9455,8.2364,10_abruptExp,1,abruptExp,27.5613839871108
16,7,-60,45,0,-10.691,21.599,21.599,1.5513e+12,8.2364,11.4,8.2364,11.4,10_abruptExp,1,abruptExp,24.5525519135303
16,8,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.32727,5.7818,-0.32727,5.7818,10_abruptExp,1,abruptExp,1.13816250149661
16,9,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-7.3636,4.9636,-7.3636,4.9636,10_abruptExp,1,abruptExp,-19.8086772243024
7,1,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.98181,8.2908,-0.98181,8.2908,10_abruptExp,0,abruptExp,2.96091433468094
7,2,0,45,0,-10.691,21.599,21.599,1.5513e+12,6.8727,7.4727,6.8727,7.4727,10_abruptExp,0,abruptExp,24.2745828311283
7,3,0,135,0,-10.691,-21.599,21.599,1.5513e+12,1.1454,6.2181,1.1454,6.2181,10_abruptExp,0,abruptExp,-48.87522013753
7,4,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-6.9272,4.8545,-6.9272,4.8545,10_abruptExp,0,abruptExp,-20.981862268862
7,5,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.49091,6.7636,-0.49091,6.7636,10_abruptExp,0,abruptExp,1.6110170579629
7,6,0,45,0,-10.691,21.599,21.599,1.5513e+12,3.7636,5.0727,3.7636,5.0727,10_abruptExp,0,abruptExp,31.5719478387156
7,7,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-1.5273,2.6182,-1.5273,2.6182,10_abruptExp,0,abruptExp,-38.4536465262223
7,8,0,45,0,-10.691,21.599,21.599,1.5513e+12,10.964,11.673,10.964,11.673,10_abruptExp,0,abruptExp,18.8834952843192
7,9,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.54545,7.3636,-0.54545,7.3636,10_abruptExp,0,abruptExp,1.73044432501416
11,1,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-6,7.5272,-6,7.5272,10_abruptExp,0,abruptExp,-26.7711672038792
11,2,0,45,0,-10.691,21.599,21.599,1.5513e+12,7.1999,6.3818,7.1999,6.3818,10_abruptExp,0,abruptExp,22.1339917179997
